Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,
000088.SZ, 盐 田 港,5.35,广东,交通运输,1997/7/28,0.18,0.19,0.24,0.21,0.18,0.22,0.23,0.2,0.2111,0.2854,0.3295,0.3696,0.4602,0.5188,0,1,0.2,0.21,3.8186,是,1,26.31,8.1053,-0.05,2.2678,8.6271,1.4,12595305783.20,0,0,1,1,1,1,1,0
000089.SZ, 深圳机场,7.2,广东,交通运输,1998/4/20,0.0137,0.2895,0.3257,0.3225,0.2743,0.2661,0.1584,0.2511,0.28,0.3544,0.4225,0.3402,0.142,0.3302,0,1,0.21,0.23,5.8149,-,0,34.35,27.633,-0.09,0.6877,-136.1911,1.24,16795802278.71,0,0,0,1,1,1,1,0
000090.SZ, 天健集团,5.26,广东,房地产,1999/7/21,0.738,0.6042,0.54,0.5,0.37,0.71,0.76,0.6849,0.498,0.445,0.2426,0.1264,-0.3771,0.5692,0,1,0.63,0.65,4.5287,是,1,8.38,57.4382,-0.03,1.5009,0.6622,1.16,11659723508.16,0,1,0,1,1,1,1,1
000096.SZ, 广聚能源,8.57,广东,化工,2000/7/24,0.246,0.24,0.2,0.28,0.55,0.28,0.08,0.13,0.04,0.18,0.16,0.21,0.25,0.44,0,1,0.23,0.08,5.3748,是,1,37.48,8.4566,1.74,11.273,-1.5658,1.59,4952640000.00,0,0,1,1,0,1,0,0
000099.SZ, 中信海直,7.78,广东,交通运输,2000/7/31,0.36,0.35,0.25,0.15,0.14,0.2795,0.3495,0.3635,0.274,0.2705,0.2396,0.2177,0.1811,0.1654,0,1,0.32,0.33,5.7383,是,1,24.31,14.3305,-0.03,3.3163,10.2018,1.36,3909154209.00,0,0,1,1,1,1,1,0
000100.SZ, TCL科技,7.16,广东,电子,2004/1/30,0.3226,0.1935,0.2562,0.2178,0.1312,0.2141,0.3475,0.2481,0.0938,0.1195,0.1243,0.1667,0.1938,0.153,0,1,0.26,0.23,2.4145,是,1,27.81,49.6621,0.12,0.925,0.1021,2.97,119261701077.00,1,0,0,1,0,1,0,0
000150.SZ, 宜华健康,3.14,广东,医药生物,2000/8/7,-0.7155,-1.7913,0.283,0.3893,1.6623,0.12,0.09,0.28,0.01,0.02,0.03,0.31,0.25,0.35,0,0,-0.74,0.13,0.1556,-,0,10000,0,-6.85,0.5135,-0.4786,20.18,3335250716.60,0,0,0,1,0,1,0,0
000151.SZ, 中成股份,7.76,北京,商业贸易,2000/9/6,-0.9822,0.0296,0.2818,0.2952,0.3408,0.4547,0.3831,0.315,0.148,-0.037,0.027,0.097,0.143,0.136,0,1,-0.22,0.28,2.1541,-,0,10000,67.6434,-1.79,1.1716,4.1274,3.6,2154734400.00,0,0,0,1,0,1,0,0
000153.SZ, 丰原药业,10.31,安徽,医药生物,2000/9/20,0.3323,0.2589,0.1921,0.2091,0.1468,0.1038,0.1313,0.0914,0.0731,0.0381,0.16,0.09,0.0546,0.02,0,1,0.26,0.1,4.5284,-,0,39.49,0,1.65,0.8417,1.5382,2.28,2450308655.50,0,0,0,1,0,1,0,0
000155.SZ, 川能动力,34.46,四川,公用事业,2000/9/26,0.12,0.17,0.24,0.26,1.85,-1.2,-3.33,-1.35,0.02,-0.44,-0.45,0.18,0.29,0.29,0,0,0.18,-1.55,2.9022,-,0,195.06,0,-1.11,2.6322,1.1945,11.87,17919700000.00,0,0,1,1,0,1,0,0
