Code,Name,Close,Location,Industry,List_date,EPS_2022,EPS_2021,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2020_22,AVG_EPS_2015_17,Net_Asset,Div,Dividend,PE20_22,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,x1,x2,x3,x4,x5,x6,x7,x8,Price201231,YTDchg
601727.SH, 上海电气,4.47,上海,电气设备,2008-12-05,-0.23,-0.64,0.24,0.23,0.203,0.1895,0.1556,0.17,0.1992,0.19,0.21,0.26,0.2219,0.2,0.2196,0.24,0.18,0,-0.21,0.1717,3.5214,-,0,10000,0,-2.223063483,1.230106027,0.408037118,1.269381496,69641746641,1,0,0,1,1,1,1,0,5.4,13.45177665
601766.SH, 中国中车,5.94,北京,机械设备,2008-08-18,0.41,0.36,0.38,0.4,0.39,0.37,0.41,0.43,0.39,0.3,0.3,0.33,0.21,0.14,0.16,0.12,0,1,0.383333333,0.403333333,5.4024,是,1,15.49565217,49.25385875,-0.049586777,1.277265871,5.056817825,1.099511328,1.71E+11,1.00E+00,0,0,1,1,1,1,1,5.31,16.8297456
601777.SH, 力帆科技,3.74,重庆,汽车,2010-11-25,0.03,0,0.04,-3.58,0.19,0.14,0.07,0.33,0.3917,0.4391,0.3378,0.4102,0.4972,0.4058,0.2843,0.6778,0,0,0.023333333,0.18,2.2369,-,0,160.2857143,0,-0.87037037,1.499225671,7.343470436,1.671956726,17234641710,0,0,0,1,0,1,0,0,4.73,-2.331606218
601778.SH, 晶科科技,3.85,江西,公用事业,2020-05-19,0.08,0.13,0.19,0.34,0.45,0.34,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0.133333333,0.136666667,4.1483,是,1,28.875,11.71000858,-0.024390244,1.491158339,1.572696897,0.928091025,13855075615,0,0,0,0,1,0,0,0,7.26,-29.45454545
601788.SH, 光大证券,17.16,上海,非银金融,2009-08-18,0.61,0.72,0.5,0.1232,0.0224,0.6542,0.7391,2.1354,0.6051,0.06,0.29,0.45,0.64,0.92,0.47,1.68,0.38,1,0.61,1.176233333,11.8214,是,1,28.13114754,30.36197579,-0.481395415,0,0,1.451604717,78014526852,1,0,0,1,1,1,1,0,18.52,13.7861466
601789.SH, 宁波建工,4.51,浙江,建筑装饰,2011-08-16,0.3033,0.3929,0.2552,0.2462,0.2249,0.2192,0.2002,0.3914,0.3768,0.4769,0.3361,0.3473,0.3239,0.2788,0.2544,0,0,1,0.317133333,0.270266667,3.7923,是,1,14.22114778,31.15910635,0.173408979,1.112671273,0.75151692,1.189251905,4944933585,0,1,0,1,1,1,1,1,3.99,5.324074074
601798.SH, 蓝科高新,6.97,甘肃,机械设备,2011-06-22,-0.52,-0.49,0.05,-0.102,0.177,-0.246,-0.39,0.126,0.16,0.26,0.329,0.432,0.467,0.541,0.354,0,0,0,-0.32,-0.17,4.021,-,0,10000,0,0.882352941,1.351344343,2.111703913,1.733399652,2460425694,0,0,0,1,0,1,0,0,5.82,2.359882006
601799.SH, 星宇股份,147.85,江苏,汽车,2011-02-01,3.3,1/3/1900,4.1989,2.8604,2.2108,1.7019,1.3895,1.2246,1.1378,0.9087,0.788,0,0,0.4707,0.3902,0.3672,0,1,3.635866667,1.438666667,29.8297,是,1,40.66430746,33.18764307,1.527247451,2.180682296,44.55109687,4.956469559,42240558893,0,0,1,1,0,1,0,0,200.5,16.08699066
601800.SH, 中国交建,9.44,北京,建筑装饰,2012-03-09,1.09,1/1/1900,0.9,1.16,1.15,1.21,0.97,0.95,0.86,0.75,0.75,0.78,0.64,0.46,0.4,0.33,0,1,1.003333333,1.043333333,15.093,是,1,9.408637874,18.36850629,-0.038338658,0.931822201,0.08322284,0.625455509,1.56E+11,1.00E+00,1,0,1,1,1,1,1,7.26,18.88198758
601801.SH, 皖新传媒,7.92,安徽,传媒,2010-01-18,0,0,0,0,0,0,0,0,0.76,0.67,0.55,0,0,0,0,0,0,0,0,0,5.6285,是,1,10000,51.99147276,-999,2.418265694,-1.417986848,1.407124456,15873853801,0,0,1,1,1,1,1,0,4.75,53.16698656
