Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,,
000068.SZ, 华控赛格,4.17,广东,公用事业,6/11/1997,-0.0971,-0.165,0.006,-0.132,0.0324,0.0099,0.007,-0.1208,-0.0415,0.0035,-0.0456,0.0395,-2.1484,0.0231,-0.2443,0,0,-0.085366667,-0.034633333,0.2614,-,0,10000,0,1.464870067,0.845733531,0.100002144,15.95,3583750412,0,0,0,1,0,1,0,0,3.25
000069.SZ, 华侨城Ａ,5.59,广东,房地产,9/10/1997,0.4727,1.5633,1.5044,1.2907,1.0533,0.8395,0.637,0.6566,0.6062,0.5294,0.568,0.978,0.551,0.35,0.66,0,1,1.180133333,0.711033333,9.5226,是,1,4.736752909,0,0.659744035,1.596200148,0.324128111,0.59,42239238662,0,1,0,1,1,1,1,1,7.09
000070.SZ, 特发信息,7.13,广东,通信,5/11/2000,-0.7505,0.014,0.4096,0.4393,0.4236,0.6245,0.3349,0.2051,0.23,0.19,0.1471,0.251,0.1653,0.1417,0.0442,0,0,-0.108966667,0.388166667,2.2561,-,0,10000,0,-1.28072134,1.593611752,0.426061506,3.16,5033717881,0,0,0,1,0,1,0,0,9.21
000078.SZ, 海王生物,3.63,广东,医药生物,12/18/1998,0.0355,-0.11,0.091,0.156,0.2427,0.1876,0.6467,0.0325,0.1644,0.0905,0.0805,0.0715,0.0217,0.0372,0.0626,0,0,0.0055,0.288933333,2.1165,-,0,660,0,-0.980964467,1.062326116,0.224755737,1.72,8885191420,0,0,0,1,0,1,0,0,4.01
000088.SZ, 盐 田 港,4.99,广东,交通运输,7/28/1997,0.21,0.18,0.19,0.24,0.21,0.18,0.22,0.23,0.2,0.2111,0.2854,0.3295,0.3696,0.4602,0.5188,0,1,0.193333333,0.21,3.9969,是,1,25.81034483,0,-0.079365079,1.696059923,6.404131284,1.25,11470724910,0,0,0,1,1,1,1,0,6.32
000089.SZ, 深圳机场,7.29,广东,交通运输,4/20/1998,-0.0168,0.0137,0.2895,0.3257,0.3225,0.2743,0.2661,0.1584,0.2511,0.28,0.3544,0.4225,0.3402,0.142,0.3302,0,0,0.095466667,0.232933333,5.7974,是,1,76.36173184,0,-0.590154551,1.108547087,7.877410462,1.26,13904217271,0,0,0,1,1,1,1,0,8.17
000090.SZ, 天健集团,6.11,广东,房地产,7/21/1999,0.9606,0.738,0.6042,0.54,0.5,0.37,0.71,0.76,0.6849,0.498,0.445,0.2426,0.1264,-0.3771,0.5692,0,1,0.7676,0.613333333,5.0887,是,1,7.959874935,0,0.251521739,1.374905391,0.557021233,1.2,10874934426,0,1,0,1,1,1,1,1,5.94
000096.SZ, 广聚能源,8.67,广东,化工,7/24/2000,0.128,0.246,0.24,0.2,0.28,0.55,0.28,0.08,0.13,0.04,0.18,0.16,0.21,0.25,0.44,0,1,0.204666667,0.303333333,5.4769,是,1,42.36156352,0,-0.325274725,16.60292627,-1.796958547,1.58,4445760000,0,0,1,1,0,1,0,0,9.69
000099.SZ, 中信海直,7.59,广东,交通运输,7/31/2000,0.37,0.36,0.35,0.25,0.15,0.14,0.2795,0.3495,0.3635,0.274,0.2705,0.2396,0.2177,0.1811,0.1654,0,1,0.36,0.256333333,6.0959,是,1,21.08333333,0,0.404421326,4.779098072,-3.914833141,1.25,5639848896,0,0,1,1,1,1,1,0,7.46
000100.SZ, TCL科技,3.96,广东,电子,1/30/2004,0.7354,0.3226,0.1935,0.2562,0.2178,0.1312,0.2141,0.3475,0.2481,0.0938,0.1195,0.1243,0.1667,0.1938,0.153,0,1,0.417166667,0.230933333,3.0529,是,1,9.492608869,20.38293811,0.806437644,1.07928246,0.125585525,1.3,55561343987,1,1,0,1,1,1,1,1,7.08
