No.,Ticker,Market Cap,Market_Cap,PE,Fwd_PE,PEG,PS,PB,Dividend,ROA,ROE,ROI,Curr R,Quick R,LTDebt_Eq,Debt_Eq,Gross_M,Oper_M,Profit_M,Earnings,Price,Change,Volume
278,LMT,112.72B,112.72,18.73,14.94,2.28,1.71,11.38,2.64%,12.00%,66.90%,34.80%,1.3,1.1,1.11,1.16,13.40%,13.50%,9.40%,Apr 19/b,424.15,-0.35%,"1,625,268"
279,LNC,8.69B,8.69,7.38,4.17,0.27,0.45,0.62,3.42%,0.30%,6.60%,6.50%,-,-,0.45,0.45,-,9.50%,6.60%,May 04/a,52.68,-0.06%,"1,381,337"
280,LNT,14.61B,14.61,21.64,20.22,3.61,3.81,2.42,2.91%,3.70%,11.40%,6.30%,0.7,0.6,1.21,1.32,91.50%,22.00%,17.70%,Apr 28/a,58.67,0.29%,"3,017,238"
281,LOW,120.65B,120.65,15.43,12.51,1.06,1.25,,1.73%,17.30%,-549.50%,46.80%,1,0.1,-,-,33.30%,12.60%,8.70%,May 18/b,184.69,-1.69%,"5,703,720"
282,LRCX,61.56B,61.56,14.82,12.47,1.06,3.68,10.95,1.27%,28.10%,74.60%,36.40%,2.8,2,0.83,0.83,45.90%,31.20%,27.10%,Apr 20/a,474.12,0.42%,"1,706,743"
283,LUMN,11.31B,11.31,5.36,9.55,-,0.58,0.91,9.04%,3.70%,18.40%,8.90%,2.1,2.1,2.31,2.32,56.90%,22.70%,11.20%,May 04/a,11.06,-2.64%,"22,790,056"
284,LUV,24.90B,24.9,45.23,11.22,-,1.35,2.42,,1.60%,5.70%,6.40%,1.9,1.8,0.99,1.03,71.10%,7.30%,3.20%,Apr 28/b,42.65,-2.11%,"4,394,561"
285,LVS,22.22B,22.22,,17.36,-,5.58,5.64,,8.90%,66.50%,-4.90%,3.1,3.1,3.29,3.31,36.90%,-25.90%,46.40%,Apr 27/a,33.46,0.60%,"6,254,306"
286,LW,8.82B,8.82,39.41,22.35,2.67,2.23,23.4,1.55%,5.60%,56.30%,11.90%,2.6,1.6,6.87,6.96,19.60%,9.00%,5.90%,Apr 07/b,63.17,1.20%,"844,784"
287,LYB,35.02B,35.02,6.13,6.35,1.85,0.7,2.79,4.19%,15.60%,50.00%,23.90%,1.8,1.1,0.88,0.89,18.70%,14.60%,11.70%,Apr 29/b,107.87,-1.06%,"2,201,348"
288,LYV,19.43B,19.43,,58.51,-,2.5,,,-3.20%,74.20%,-6.40%,1,1,-,-,32.00%,-0.70%,-5.80%,May 05/a,89.28,-1.35%,"2,322,004"
289,MA,315.63B,315.63,34.98,26.52,1.5,15.86,46.69,0.58%,26.20%,138.10%,39.90%,1.3,1.3,1.97,2.08,-,54.50%,47.70%,Apr 28/b,336.18,1.19%,"3,425,448"
290,MAA,19.96B,19.96,34.07,42.06,4.87,10.91,3.41,2.48%,-,-,4.20%,-,-,0.77,0.77,59.70%,-,-,Apr 27/a,175.31,1.07%,"1,096,135"
291,MAR,49.87B,49.87,34.41,20.97,-,3.17,28.75,0.77%,6.00%,121.40%,13.00%,0.5,0.5,4.93,5.34,20.80%,13.10%,9.40%,May 04/b,155.23,-1.09%,"2,091,922"
292,MAS,12.62B,12.62,24.23,11.61,1.57,1.47,,2.06%,9.90%,-263.10%,35.70%,1.6,1,-,-,33.30%,15.80%,6.30%,Apr 27/b,54.29,0.57%,"2,000,089"
293,MCD,172.39B,172.39,24.71,21.64,3.21,7.25,,2.36%,13.60%,-128.90%,28.30%,1.1,1.1,-,-,54.50%,41.60%,29.90%,Apr 28/b,233.91,2.14%,"3,198,741"
294,MCHP,36.18B,36.18,29.34,11.64,1.24,5.3,6.37,1.66%,4.00%,11.60%,5.00%,1.8,1.2,1.36,1.36,65.20%,15.00%,9.50%,May 09/a,66.67,1.00%,"6,056,519"
