Code,Name,Close,Location,Industry,List_date,EPS_2020,EPS_2019,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE18_20,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,,,,,,,,,Price201231
000065.SZ, 北方国际,8.15,北京,建筑装饰,1998-06-05,0.9,0.91,0.77,0.97,0.95,0.82,0.73,0.74,0.74,0.45,0.27,0.35,0.22,-0.29,0,1,0.86,0.736666667,7.1142,是,1,9.476744186,10.02417386,0.167420814,1.728623696,1.537354144,1.145596132,6002414566,0,1,0,1,1,1,1,1,7.46
000066.SZ, 中国长城,13.19,广东,计算机,1997-06-26,0.317,0.38,0.336,0.204,0.025,-0.027,0.044,0.022,-0.181,0.076,0.167,0.795,0.021,0.214,0,0,0.344333333,-0.038333333,3.0597,是,1,38.30590513,22.84782843,-9.982608696,1.584179232,1.217717573,4.310880152,33257322490,0,0,0,1,0,1,0,0,18.99
000068.SZ, 华控赛格,3,广东,公用事业,1997-06-11,-0.165,0.006,-0.132,0.0324,0.0099,0.007,-0.1208,-0.0415,0.0035,-0.0456,0.0395,-2.1484,0.0231,-0.2443,0,0,-0.097,-0.052933333,0.3602,-,0,10000,0,0.832493703,1.327864888,0.169721567,8.328706274,2657612665,0,0,0,1,0,1,0,0,3.25
000069.SZ, 华侨城Ａ,7.49,广东,房地产,1997-09-10,1.5633,1.5044,1.2907,1.0533,0.8395,0.637,0.6566,0.6062,0.5294,0.568,0.978,0.551,0.35,0.66,0,1,1.4528,0.5974,9.461,是,1,5.155561674,19.94109779,1.431871443,1.617666993,0.318187657,0.791671071,74226234931,1,1,0,1,1,1,1,1,7.09
000070.SZ, 特发信息,7.02,广东,通信,2000-05-11,0.014,0.4096,0.4393,0.4236,0.6245,0.3349,0.2051,0.23,0.19,0.1471,0.251,0.1653,0.1417,0.0442,0,1,0.287633333,0.208366667,3.5058,-,0,24.40607255,17.43267653,0.380419133,1.39401865,0.960541894,2.002396029,6304733008,0,0,0,1,0,1,0,0,9.21
000078.SZ, 海王生物,3.18,广东,医药生物,1998-12-18,-0.11,0.091,0.156,0.2427,0.1876,0.6467,0.0325,0.1644,0.0905,0.0805,0.0715,0.0217,0.0372,0.0626,0,1,0.045666667,0.0958,2.1371,-,0,69.6350365,0,-0.523312457,1.055168225,0.206043986,1.487997754,9022733083,0,0,0,1,1,1,1,0,4.01
000088.SZ, 盐 田 港,5.35,广东,交通运输,1997-07-28,0.18,0.19,0.24,0.21,0.18,0.22,0.23,0.2,0.2111,0.2854,0.3295,0.3696,0.4602,0.5188,0,1,0.203333333,0.2137,3.8186,是,1,26.31147541,8.105312605,-0.048510373,2.267849056,8.627116442,1.401037029,12595305783,0,0,1,1,1,1,1,0,6.32
000089.SZ, 深圳机场,7.41,广东,交通运输,1998-04-20,0.0137,0.2895,0.3257,0.3225,0.2743,0.2661,0.1584,0.2511,0.28,0.3544,0.4225,0.3402,0.142,0.3302,0,1,0.209633333,0.229833333,5.8149,-,0,35.34743202,27.63297105,-0.087889775,0.687674212,-136.1911449,1.274312542,16795802279,0,0,0,1,1,1,1,0,8.17
000090.SZ, 天健集团,5.56,广东,房地产,1999-07-21,0.738,0.6042,0.54,0.5,0.37,0.71,0.76,0.6849,0.498,0.445,0.2426,0.1264,-0.3771,0.5692,0,1,0.6274,0.647633333,4.5287,是,1,8.861970035,57.43818528,-0.031241958,1.500893648,0.662164182,1.227725396,11659723508,0,1,0,1,1,1,1,1,5.94
000096.SZ, 广聚能源,9,广东,化工,2000-07-24,0.246,0.24,0.2,0.28,0.55,0.28,0.08,0.13,0.04,0.18,0.16,0.21,0.25,0.44,0,1,0.228666667,0.083333333,5.3748,是,1,39.35860058,8.456588413,1.744,11.27299352,-1.565779443,1.674480911,4952640000,0,0,1,1,0,1,0,0,9.69
000099.SZ, 中信海直,7.35,广东,交通运输,2000-07-31,0.36,0.35,0.25,0.15,0.14,0.2795,0.3495,0.3635,0.274,0.2705,0.2396,0.2177,0.1811,0.1654,0,1,0.32,0.329,5.7383,是,1,22.96875,14.33051584,-0.027355623,3.316342401,10.20181199,1.280867156,3909154209,0,0,1,1,1,1,1,0,7.46
000100.SZ, TCL科技,6.26,广东,电子,2004-01-30,0.3226,0.1935,0.2562,0.2178,0.1312,0.2141,0.3475,0.2481,0.0938,0.1195,0.1243,0.1667,0.1938,0.153,0,1,0.257433333,0.2298,2.4145,是,1,24.31697527,49.66210606,0.120249492,0.924974493,0.102146612,2.59266929,1.19262E+11,1,0,0,1,0,1,0,0,7.08
000150.SZ, 宜华健康,3.32,广东,医药生物,2000-08-07,-0.7155,-1.7913,0.283,0.3893,1.6623,0.12,0.09,0.28,0.01,0.02,0.03,0.31,0.25,0.35,0,0,-0.741266667,0.126666667,0.1556,-,0,10000,0,-6.852105263,0.513498065,-0.478614449,21.33676093,3335250717,0,0,0,1,0,1,0,0,2.96
000151.SZ, 中成股份,7.84,北京,商业贸易,2000-09-06,-0.9822,0.0296,0.2818,0.2952,0.3408,0.4547,0.3831,0.315,0.148,-0.037,0.027,0.097,0.143,0.136,0,1,-0.2236,0.282033333,2.1541,-,0,10000,67.64344954,-1.792814088,1.1716154,4.127411639,3.639571051,2154734400,0,0,0,1,0,1,0,0,8.13
000153.SZ, 丰原药业,11.91,安徽,医药生物,2000-09-20,0.3323,0.2589,0.1921,0.2091,0.1468,0.1038,0.1313,0.0914,0.0731,0.0381,0.16,0.09,0.0546,0.02,0,1,0.2611,0.0986,4.5284,-,0,45.61470701,0,1.648073022,0.841713635,1.538172678,2.630068015,2450308656,0,0,0,1,0,1,0,0,8.8
000155.SZ, 川能动力,28.75,四川,公用事业,2000-09-26,0.12,0.17,0.24,0.26,1.85,-1.2,-3.33,-1.35,0.02,-0.44,-0.45,0.18,0.29,0.29,0,0,0.176666667,-1.553333333,2.9022,-,0,162.7358491,0,-1.113733906,2.6322338,1.194546107,9.906277996,17919700000,0,0,1,1,0,1,0,0,8.3
000156.SZ, 华数传媒,7.51,浙江,传媒,2000-09-06,0.56,0.45,0.45,0.45,0.42,0.4,0.33,0.22,0.17,0.88,1.55,0.71,0.16,0.06,0,1,0.486666667,0.24,7.3081,是,1,15.43150685,139.8857107,1.027777778,1.578066725,-3.678622735,1.02762688,14045227910,0,0,0,1,1,1,1,1,8.56
000157.SZ, 中联重科,8.25,湖南,机械设备,2000-10-12,0.97,0.58,0.26,0.17,-0.12,0.01,0.08,0.5,0.95,1.05,0.97,1.418,1.0318,1.7536,0,0,0.603333333,0.51,5.8888,是,1,13.67403315,0,0.183006536,1.730533101,1.325555474,1.400964543,98626055758,1,1,0,1,1,1,1,1,9.9
